id,examRound,year,questionNumber,session,subject,officialLarge,officialMedium,officialSmall,normalizedTheme,subTheme,importance,studyPoint,sourceUrl,sourceReliability,blueprintVersion,questionCountMode,memo
32-100,32,2024,100,共通,東洋医学概論,専門科目,東洋医学概論,五行色体・相剋,tcm-fundamentals,五行色体の相剋関係,,五行相剋：木剋土・火剋金・土剋水・金剋木・水剋火。石（水行）と色（火行の華）は相剋関係にある,,indexed_official,2020,180,
32-101,32,2024,101,共通,東洋医学概論,専門科目,東洋医学概論,経脈病証（症例）,tcm-diagnosis,手の太陽小腸経の病証,,肩上部から上肢後面の痛み・耳後ろ・目尻の痛み・汗をかきやすい＝手の太陽小腸経の病証,,indexed_official,2020,180,
32-102,32,2024,102,共通,東洋医学概論,専門科目,東洋医学概論,三陰三陽病証,tcm-diagnosis,少陰病の特徴,,全身冷え・悪寒・下痢・嗜眠・身体衰弱＝少陰病（心腎の陽気虚衰）。太陰病は消化器主体。厥陰病は厥逆,,indexed_official,2020,180,
32-103,32,2024,103,共通,東洋医学臨床論,専門科目,東洋医学臨床論,便秘の弁証,tcm-clinical,気秘の病態,,肝気鬱結（ストレス・仕事辞め・夜型生活）→気の疏泄障害→腸の気機不通→気秘。噯気・腹満が伴う,,indexed_official,2020,180,
32-104,32,2024,104,共通,東洋医学臨床論,専門科目,東洋医学臨床論,八綱弁証・裏実証,tcm-diagnosis,裏実証の弁証,,雨天長時間歩行→湿邪侵入→湿滞裏部→裏実証。倦怠感・食欲不振・水様便は湿邪の裏実の症状,,indexed_official,2020,180,
32-105,32,2024,105,共通,はり理論,専門科目,はり理論,補瀉手技（外感寒邪）,acupuncture-technique,浮緊脈への鍼の補瀉,,浮緊脈＝表実寒証→瀉法。浅く刺入し後に深くするのは補法。呼気時刺入・吸気時抜鍼は瀉法（正解）,,indexed_official,2020,180,
32-106,32,2024,106,共通,東洋医学臨床論,専門科目,東洋医学臨床論,治法八法・消法,tcm-clinical,停滞した病理産物を散らす治法,,消法：停滞した病理産物（食積・血瘀・痰飲）を消散させる。汗法は解表。清法は清熱。吐法は催吐,,indexed_official,2020,180,
32-107,32,2024,107,共通,経絡経穴概論,専門科目,経絡経穴概論,経脈循行・横隔膜,meridians-acupoints,横隔膜を貫かない経脈,,足の太陽膀胱経は横隔膜を貫かない（正しい）。肺経・脾経・三焦経は横隔膜を貫く,,indexed_official,2020,180,
32-108,32,2024,108,共通,経絡経穴概論,専門科目,経絡経穴概論,奇経の別絡,meridians-acupoints,小腸経の脈気を受けて内眼角起こる別絡,,督脈の別絡は小腸経の脈気を受けて内眼角（睛明）に起こる。衝脈・陽跷脈・陽維脈は内眼角に起こらない,,indexed_official,2020,180,
32-109,32,2024,109,共通,経絡経穴概論,専門科目,経絡経穴概論,五兪穴の部位・属性,meridians-acupoints,五兪穴の正確な知識,,手の太陽経（小腸経）の兪木穴（後谿）は原穴と一致しない（原穴は腕骨）。五兪穴と原穴の一致は陽経の兪穴,,indexed_official,2020,180,
32-110,32,2024,110,共通,経絡経穴概論,専門科目,経絡経穴概論,下合穴,meridians-acupoints,足の三陽経に当てはまる要穴,,下合穴はすべて足の三陽経の経穴（胃・胆・膀胱・大腸・小腸・三焦の下合穴は下肢に在る）,,indexed_official,2020,180,
32-111,32,2024,111,共通,経絡経穴概論,専門科目,経絡経穴概論,経穴部位の取穴,meridians-acupoints,膝蓋骨尖と内果尖の線上1/3の経穴,,膝蓋骨尖〜内果尖を3等分し内果尖から1/3＝中都（肝経の郄穴）。蠡溝は絡穴（位置が異なる）,,indexed_official,2020,180,
32-112,32,2024,112,共通,経絡経穴概論,専門科目,経絡経穴概論,頸部経穴の部位,meridians-acupoints,天○の経穴の部位,,天鼎：輪状軟骨と同じ高さ・胸鎖乳突筋前縁（正しい）。天衝：耳尖直上髪際上1.5寸（1寸でない）,,indexed_official,2020,180,
32-113,32,2024,113,共通,経絡経穴概論,専門科目,経絡経穴概論,陰都と同高さの任脈経穴,meridians-acupoints,陰都と同高さの任脈の特徴,,陰都（腎経）と同高さの任脈経穴＝建里（臍上3寸）。八会穴の腑会は中脘（臍上4寸）。任脈絡穴は鳩尾,,indexed_official,2020,180,
32-114,32,2024,114,共通,経絡経穴概論,専門科目,経絡経穴概論,膻中の特徴,meridians-acupoints,膻中の取穴・要穴,,膻中は八会穴の気会。心の募穴は巨闕。胸骨角（Louis角）を基準に取穴。外方6寸は天谿（天渓でない）,,indexed_official,2020,180,
32-115,32,2024,115,共通,経絡経穴概論,専門科目,経絡経穴概論,腰部経穴の部位,meridians-acupoints,第12肋骨先端〜後正中線交点の経穴,,左右第12肋骨先端を結ぶ線と後正中線の交点・棘突起下陥凹部＝命門（第2腰椎棘突起下）,,indexed_official,2020,180,
32-116,32,2024,116,共通,経絡経穴概論,専門科目,経絡経穴概論,要穴の位置関係,meridians-acupoints,絡穴が郄穴より末梢にある経脈,,足の太陰脾経：絡穴（公孫：第1中足骨底前下方）は郄穴（地機：膝下3寸）より末梢に位置する,,indexed_official,2020,180,
32-117,32,2024,117,共通,経絡経穴概論,専門科目,経絡経穴概論,膝窩の経穴,meridians-acupoints,膝窩横紋上・半腱様筋腱外縁の経穴,,膝窩横紋上・半腱様筋腱外縁＝陰谷（腎経の合水穴）。委陽は膀胱経。曲泉は肝経（内側）,,indexed_official,2020,180,
32-118,32,2024,118,共通,経絡経穴概論,専門科目,経絡経穴概論,上腕部の経穴,meridians-acupoints,腋窩横紋前端下2寸の経穴,,上腕二頭筋長頭と短頭の間・腋窩横紋前端下方2寸＝天泉（心包経）。天府は肺経（橈側）。消濼は三焦経,,indexed_official,2020,180,
32-119,32,2024,119,共通,経絡経穴概論,専門科目,経絡経穴概論,危険部位・肺損傷リスク,acupuncture-technique,肺損傷リスクが最も高い募穴,,経脈流注方向に沿った斜刺・深刺で肺損傷リスク最高の募穴は中府（肺経・肺の募穴・第1肋間に近接）,,indexed_official,2020,180,
32-120,32,2024,120,共通,経絡経穴概論,専門科目,経絡経穴概論,経穴の位置（足部）,meridians-acupoints,足陽明経と足太陰経の五兪穴間の経穴,,足陽明経火穴（解谿）と足太陰経金穴（商丘）の間にあるのは中封（肝経）または丘墟（胆経）,,indexed_official,2020,180,
32-121,32,2024,121,共通,経絡経穴概論,専門科目,経絡経穴概論,足少陽経の五兪穴,meridians-acupoints,足少陽経の経火穴の部位,,足少陽経の経火穴（陽輔）＝下腿外側・腓骨前方・外果尖上方4寸。陽陵泉は合水穴（膝蓋靱帯外方陥凹部）,,indexed_official,2020,180,
32-122,32,2024,122,共通,経絡経穴概論,専門科目,経絡経穴概論,腋窩壁上の経穴,meridians-acupoints,腋窩壁を構成する筋上の経穴,,腋窩壁を構成する大胸筋・広背筋・前鋸筋上の経穴＝雲門（肺経・鎖骨下窩の大胸筋上）,,indexed_official,2020,180,
32-123,32,2024,123,共通,経絡経穴概論,専門科目,経絡経穴概論,八会穴の所属経脈,meridians-acupoints,八会穴で所属経脈が異なる組合せ,,八会穴：気会（膻中・任脈）と腑会（中脘・任脈）は同じ任脈。筋会（陽陵泉・胆経）と髄会（絶骨・胆経）は同じ胆経,,indexed_official,2020,180,
32-124,32,2024,124,共通,経絡経穴概論,専門科目,経絡経穴概論,手関節横紋からの距離,meridians-acupoints,手関節横紋から最も遠い経穴,,三焦経の経火穴（支溝・手背3寸）が手関節横紋から最も遠い。大腸経絡穴（偏歴・前腕3寸）も遠いが支溝のほうが遠い,,indexed_official,2020,180,
32-125,32,2024,125,共通,経絡経穴概論,専門科目,経絡経穴概論,特定穴・脚気八処,meridians-acupoints,脚気八処の穴の構成,,脚気八処：風市・伏兎・犢鼻（外膝眼）・膝眼・足三里・上巨虚・下巨虚・絶骨。条口は含まれない,,indexed_official,2020,180,
32-126,32,2024,126,共通,経絡経穴概論,専門科目,経絡経穴概論,循経感伝現象,acupuncture-technique,循経感伝現象の関連所見,,循経感伝と関連：索状硬結・腫脹・色素沈着。丘疹（皮膚症状）は循経感伝現象とは関係しない,,indexed_official,2020,180,
32-127,32,2024,127,共通,はり理論,専門科目,はり理論,頭痛の施術適応,acupuncture-technique,施術適応となる頭痛の鑑別,,感冒後2週間後の前頭部ズキズキ・叩打痛・後鼻漏＝副鼻腔炎→施術適応。突然激しい後頭部痛・回転性めまいは脳卒中疑い,,indexed_official,2020,180,
32-128,32,2024,128,共通,はり理論,専門科目,はり理論,美容鍼・大頬骨筋,acupuncture-technique,口角挙上のための経穴選択,,大頬骨筋刺激で口角挙上：巨髎（胃経・頬骨下縁）が最適。顴髎は小腸経。頬車・迎香は目的が異なる,,indexed_official,2020,180,
32-129,32,2024,129,共通,はり理論,専門科目,はり理論,RAのZ変形・接触鍼,acupuncture-technique,関節リウマチZ変形の局所治療穴,,RAのZ変形（母指MP関節尺側偏位・IP関節橈側偏位）の局所接触鍼：魚際（肺経・母指球）が適切,,indexed_official,2020,180,
32-130,32,2024,130,共通,はり理論,専門科目,はり理論,過活動膀胱の治療穴,acupuncture-technique,脊髄排尿中枢を介した治療穴,,過活動膀胱への脊髄排尿中枢（S2-S4）を介した治療穴：中髎（膀胱経・第3後仙骨孔）が適切,,indexed_official,2020,180,
32-131,32,2024,131,共通,はり理論,専門科目,はり理論,神経根刺鍼部位,acupuncture-technique,C6-C7横突起間刺鍼と知覚障害部位,,C6-C7横突起間刺鍼→C7神経根障害→手背中央から中指のしびれ。C6障害＝前腕橈側から母指,,indexed_official,2020,180,
32-132,32,2024,132,共通,はり理論,専門科目,はり理論,胸郭出口症候群（症例）,orthopedics,TOS症例の鑑別診断,,モーレイ+・エデン+（鎖骨と第1肋骨間圧迫）・ジャクソン−・スパーリング−＝TOS。頸椎症性脊髄症・神経根症はジャクソン+,,indexed_official,2020,180,
32-133,32,2024,133,共通,はり理論,専門科目,はり理論,ド・ケルバン腱鞘炎（症例）,orthopedics,母指痛の徒手検査,,手関節橈側の痛み・母指動作で増悪→ドケルバン病疑い。アイヒホッフテスト（フィンケルシュタインテスト）で鑑別,,indexed_official,2020,180,
32-134,32,2024,134,共通,はり理論,専門科目,はり理論,腰椎ヘルニアのS1障害（症例）,orthopedics,S1神経根障害の特定,,左アキレス腱反射減弱・足部外縁から足底の感覚鈍麻＝S1神経根障害。L3＝大腿前面。L4＝下腿内側。L5＝足背,,indexed_official,2020,180,
32-135,32,2024,135,共通,はり理論,専門科目,はり理論,正中神経麻痺・手根管症候群（症例）,neurology,母指球萎縮・祈祷師手・正中神経麻痺,,母指・示指掌側しびれ・母指球萎縮・祈祷師の手＝正中神経障害（手根管症候群）。罹患筋は円回内筋（手根管より近位）,,indexed_official,2020,180,
32-136,32,2024,136,共通,はり理論,専門科目,はり理論,膝OA・大腿四頭筋への治療穴,acupuncture-technique,パテラセッティングで使う筋への治療穴,,パテラセッティング＝大腿四頭筋の等尺性収縮訓練。腹臥位での局所治療穴：膝陽関（胆経・大腿外側）が適切,,indexed_official,2020,180,
32-137,32,2024,137,共通,はり理論,専門科目,はり理論,股関節OA・拘縮筋（症例）,orthopedics,トーマス+・エリー+での拘縮筋同定,,トーマステスト+（股関節屈曲拘縮）＋エリーテスト+（大腿直筋拘縮）。縫工筋すぐ外方陥凹は大腿直筋起始部,,indexed_official,2020,180,
32-138,32,2024,138,共通,はり理論,専門科目,はり理論,パーキンソン病・歯車現象（症例）,neurology,丸薬丸め運動と歯車現象,,動作緩慢＋丸薬丸め運動（安静時振戦）＝PD。歯車現象（固縮＋振戦）が最もよくみられる。ガワーズ・ホフマンは別疾患,,indexed_official,2020,180,
32-139,32,2024,139,共通,はり理論,専門科目,はり理論,顎関節症の治療穴と筋,acupuncture-technique,顎関節症の局所穴と対象筋の対応,,下関（胃経・頬弓下）→外側翼突筋（顎関節の前上方に位置）。禾髎→咬筋。頷厭→側頭筋。懸顱→側頭筋,,indexed_official,2020,180,
32-140,32,2024,140,共通,はり理論,専門科目,はり理論,認知症評価スケール,rehabilitation,HDS-RにないMMSEの評価項目,,MMSEにあってHDS-Rにない項目：図形模写（立体図の模写）。計算・時間の見当識・単語再生はHDS-Rにも含まれる,,indexed_official,2020,180,
32-141,32,2024,141,共通,はり理論,専門科目,はり理論,後骨間神経麻痺,neurology,後骨間神経麻痺で生じる障害,,後骨間神経（橈骨神経の深枝）麻痺→下垂指（指の伸展不能）。猿手＝正中神経。鷲手＝尺骨神経。尺側偏位＝RA,,indexed_official,2020,180,
32-142,32,2024,142,共通,はり理論,専門科目,はり理論,三叉神経第2枝の治療穴,acupuncture-technique,三叉神経第2枝（上顎神経）の神経痛治療穴,,三叉神経第2枝（上顎神経）領域：四白（胃経・眼窩下孔）が局所治療穴。陽白は第1枝領域,,indexed_official,2020,180,
32-143,32,2024,143,共通,東洋医学臨床論,専門科目,東洋医学臨床論,難経69難・配穴法,tcm-clinical,六部定位脈診と難経69難の配穴,,右手寸口沈虚＝肺虚→難経69難（虚則補其母）→肺の母（土行・脾）→太淵（肺）と太白（脾）を補穴に選択,,indexed_official,2020,180,
32-144,32,2024,144,共通,経絡経穴概論,専門科目,経絡経穴概論,奇穴の主治と取穴部位,meridians-acupoints,取穴部位が主治症の局所にある奇穴,,腰痛に対する腰痛点は手背（腰から遠い）。足背痛に対する八風は足背に取穴（局所穴）。落枕は手背・胆嚢点は下腿,,indexed_official,2020,180,
32-145,32,2024,145,共通,東洋医学臨床論,専門科目,東洋医学臨床論,腎陰虚証（症例）,tcm-clinical,腎陰虚の治療方針,,不眠・動悸・物忘れ・腰下肢重だるさ・歯のぐらつき・舌紅・脈数＝腎陰虚（心火偏亢を伴う）→腎陰を補う,,indexed_official,2020,180,
32-146,32,2024,146,共通,経絡経穴概論,専門科目,経絡経穴概論,表裏経の絡穴・要穴,meridians-acupoints,足第1・2趾の表裏経同時治療の要穴,,足第1・2趾付近→肝経・胆経が走行。表裏経同時治療の要穴＝絡穴を使う。公孫（脾経→胃経）は第1趾内側周辺で適切,,indexed_official,2020,180,
32-147,32,2024,147,共通,東洋医学概論,専門科目,東洋医学概論,足陽明経の経脈病証,tcm-diagnosis,足陽明胃経の病証,,足陽明経病証：口が乾く（胃火・胃熱）。口が苦い＝少陽（胆）。口が歪む＝風邪。口が熱い＝陽明実熱（類似だが一般的でない）,,indexed_official,2020,180,
32-148,32,2024,148,共通,はり理論,専門科目,はり理論,十二刺・陰刺,acupuncture-technique,のぼせ・心火に対する十二刺の選択,,のぼせ・心火→心の熱邪→両側の要穴を同時刺鍼（陰刺）。輸刺は五体の病。斉刺・揚刺は痺証（広がる病変）,,indexed_official,2020,180,
32-149,32,2024,149,共通,東洋医学臨床論,専門科目,東洋医学臨床論,痰湿証・動悸（症例）,tcm-clinical,食後動悸・胃部振水音の弁証,,食後動悸・胸悶・息切れ・胃部振水音＝痰湿が心を犯す証→痰湿を除く（化痰）。血虚・陰虚・瘀血ではない,,indexed_official,2020,180,
32-150,32,2024,150,共通,東洋医学臨床論,専門科目,東洋医学臨床論,胃陰虚証（症例）,tcm-clinical,辛食・飲酒過多から胃陰虚への進展,,口渇・胃の灼熱感→食が進まない・舌紅無苔・脈細数＝胃熱が胃の津液を損傷（胃陰虚）,,indexed_official,2020,180,
32-151,32,2024,151,共通,東洋医学臨床論,専門科目,東洋医学臨床論,湿熱証・食欲不振（症例）,tcm-clinical,湿熱証の腹痛部位,,飲酒・胃びらん・口が苦い・舌紅・苔厚膩・脈滑数＝湿熱証。湿熱は中焦（胃）→腹痛は心窩部（みぞおち）,,indexed_official,2020,180,
32-152,32,2024,152,共通,東洋医学臨床論,専門科目,東洋医学臨床論,湿熱証の治療方針（症例）,tcm-clinical,湿熱証への治療,,湿熱証（出血性びらん・滑数脈・厚膩苔）→治療方針は湿熱を除く（清利湿熱）。肝気疏通・脾気補益・胃陰補益は不適合,,indexed_official,2020,180,
32-153,32,2024,153,共通,はり理論,専門科目,はり理論,胸郭出口症候群・病態（症例）,orthopedics,ライトテスト+のTOS病態,,美容師の右上肢持続的だるさ・腱反射正常・ライトテスト+（挙上外転で症状誘発）→髪カット姿勢で上肢挙上→症状誘発,,indexed_official,2020,180,
32-154,32,2024,154,共通,はり理論,専門科目,はり理論,TOS罹患筋への治療穴（症例）,acupuncture-technique,ライトテスト+のTOS・小胸筋への治療穴,,ライトテスト+（過外転症候群）→小胸筋が烏口突起で神経血管を圧迫→局所治療穴：中府（肺経・大胸筋と小胸筋間）,,indexed_official,2020,180,
32-155,32,2024,155,共通,東洋医学臨床論,専門科目,東洋医学臨床論,腎陽虚・不妊（症例）,tcm-clinical,腎陽虚証の随伴症状,,月経量少・経遅・四肢厥冷・腰膝酸軟・舌淡胖大・脈沈遅＝腎陽虚。随伴症状：五更泄瀉（夜明け前の下痢）,,indexed_official,2020,180,
32-156,32,2024,156,共通,はり理論,専門科目,はり理論,腎陽虚の背部兪穴（症例）,acupuncture-technique,腎陽虚の治療背部兪穴の高さ,,腎陽虚→腎兪（腎の背部兪穴）を選択→第2腰椎棘突起下縁の高さ。命門（第2腰椎棘突起下）と同高さにある,,indexed_official,2020,180,
32-157,32,2024,157,共通,はり理論,専門科目,はり理論,気管支拡張剤の受容体（症例）,pulmonology,β受容体と気管支拡張,,気管支拡張剤（β2作動薬）はβ受容体（特にβ2）に作用して気管支平滑筋を弛緩させる。ムスカリン受容体遮断でも拡張可能,,indexed_official,2020,180,
32-158,32,2024,158,共通,はり理論,専門科目,はり理論,喘息の奇穴・四華（症例）,acupuncture-technique,委中を仮点として取穴する奇穴,,委中を仮点として取穴する奇穴：四華。委中に糸を当て前に回し交差した点＝四華。定喘は第7頸椎傍,,indexed_official,2020,180,
32-159,32,2024,159,共通,はり理論,専門科目,はり理論,難聴の検査（症例）,clinical-general,難聴の程度評価検査,,難聴の程度評価：オージオメトリー（純音聴力検査）。リンネ・ウェーバーは伝音性か感音性かの鑑別。グリセロール・カロリックはメニエール,,indexed_official,2020,180,
32-160,32,2024,160,共通,はり理論,専門科目,はり理論,加齢性難聴（症例）,neurology,高音域・感音性難聴・耳鳴りの原因疾患,,高音域聴力低下・めまい・耳閉塞感なし・耳漏なし・両側性＝加齢性難聴（老人性難聴）。突発性難聴は一側性急性発症,,indexed_official,2020,180,
32-161,32,2024,161,共通,はり理論,専門科目,はり理論,毫鍼の医療機器クラス,acupuncture-technique,滅菌済単回使用毫鍼のクラス分類,,滅菌済単回使用毫鍼はクラスⅡ（管理医療機器）。クラスⅠは一般医療機器。クラスⅢ・Ⅳは高度管理医療機器（植込み型など）,,indexed_official,2020,180,はり師専用
32-162,32,2024,162,共通,はり理論,専門科目,はり理論,押手の機能,acupuncture-technique,押手の役割,,押手の役割：刺鍼部位の皮膚・筋肉を和らげる（正しい）。左右圧に当たるのは爪押し圧。急な体動察知は押手の副次的機能,,indexed_official,2020,180,はり師専用
32-163,32,2024,163,共通,はり理論,専門科目,はり理論,小児鍼の種類と特徴,acupuncture-technique,接触鍼と摩擦鍼の両方の特徴をもつ小児鍼,,振子鍼：接触（触れる）と摩擦（なでる）の両方の特徴をもつ小児鍼。いちょう鍼・ローラー鍼は摩擦のみ。集毛鍼は接触鍼,,indexed_official,2020,180,はり師専用
32-164,32,2024,164,共通,はり理論,専門科目,はり理論,鍼療法の禁忌,acupuncture-technique,鍼療法の絶対禁忌,,クスマウル呼吸（糖尿病性ケトアシドーシスなど）を伴う意識障害は絶対禁忌。化学療法の吐き気・悪性腫瘍の痛み・つわりは適応,,indexed_official,2020,180,はり師専用
32-165,32,2024,165,共通,はり理論,専門科目,はり理論,椎骨動脈損傷リスク経穴,acupuncture-technique,深刺で椎骨動脈損傷リスクが最高の経穴,,風池（胆経）への深刺：椎骨動脈に最も近接するため損傷リスク最高。瘂門・完骨・翳風は異なるリスク,,indexed_official,2020,180,はり師専用
32-166,32,2024,166,共通,はり理論,専門科目,はり理論,鍼の感染症対策,acupuncture-technique,感染症対策で不適切な行為,,抜鍼後の消毒綿花は廃棄物として血液付着→感染性廃棄物（医療廃棄物）として処理が必要。一般廃棄物として処理は不適切,,indexed_official,2020,180,はり師専用
32-167,32,2024,167,共通,はり理論,専門科目,はり理論,切皮時の侵害受容器,acupuncture-technique,切皮時の一次痛と侵害受容器,,切皮時の一次痛（鋭い・局在明確）はAδ線維由来→高閾値機械受容器が関与。ポリモーダル受容器はC線維（二次痛）,,indexed_official,2020,180,はり師専用
32-168,32,2024,168,共通,はり理論,専門科目,はり理論,痛覚伝導路,acupuncture-technique,痛覚の脊髄内伝導路,,痛覚（Aδ・C線維）→脊髄後角→交叉→脊髄前側索（外側脊髄視床路）を上行。脊髄後索は固有感覚・識別性触覚,,indexed_official,2020,180,はり師専用
32-169,32,2024,169,共通,はり理論,専門科目,はり理論,発汗・エクリン腺の受容体,acupuncture-technique,鍼刺激による発汗とエクリン腺受容体,,エクリン腺（エクリン汗腺）の支配は交感神経コリン作動性→ムスカリン受容体が関与。発汗でのムスカリン受容体が最適,,indexed_official,2020,180,はり師専用
32-170,32,2024,170,共通,はり理論,専門科目,はり理論,鍼刺激による皮膚血流増加,acupuncture-technique,皮膚血流増加に関係する物質,,鍼刺激による皮膚血流増加：NO（一酸化窒素）が関与。軸索反射→CGRPも関与。ノルアドレナリンは血管収縮（血流低下）,,indexed_official,2020,180,はり師専用
32-171,32,2024,171,共通,きゅう理論,専門科目,きゅう理論,透熱灸の艾の品質,acupuncture-technique,透熱灸に適した艾の品質,,透熱灸の艾：淡黄白色・乾燥・夾雑物少・灰分少。湿気を帯びた艾・夾雑物多・灰分多は不適切,,indexed_official,2020,180,きゅう師専用
32-172,32,2024,172,共通,きゅう理論,専門科目,きゅう理論,焦灼灸の特徴,acupuncture-technique,焦灼灸の定義と適応,,焦灼灸：1局所に多壮施灸して組織を焼灼する灸法。有痕灸の一種。患者が気持ちよいところで消火するのは隔物灸・知熱灸,,indexed_official,2020,180,きゅう師専用
32-173,32,2024,173,共通,きゅう理論,専門科目,きゅう理論,輻射熱を用いる灸法,acupuncture-technique,輻射熱を用いる灸法の種類,,輻射熱を用いる灸法：紅灸（もぐさに点火せず紙・木で加熱する灸）。押灸・箱灸・塩灸は伝導熱が主体,,indexed_official,2020,180,きゅう師専用
32-174,32,2024,174,共通,きゅう理論,専門科目,きゅう理論,小児への灸法,acupuncture-technique,小児に最も適した灸法,,小児に最適な灸法：艾条灸（棒灸）。皮膚から離して温熱刺激を与え、有痕にならない。透熱灸・焦灼灸・打膿灸は有痕で小児不適,,indexed_official,2020,180,きゅう師専用
32-175,32,2024,175,共通,きゅう理論,専門科目,きゅう理論,温熱刺激の神経伝達物質,acupuncture-technique,温熱刺激情報を二次ニューロンへ伝達する物質,,温熱刺激→一次ニューロン→グルタミン酸（興奮性アミノ酸）→二次ニューロン活性化。ドパミン・ノルアドレナリンは疼痛調整系,,indexed_official,2020,180,きゅう師専用
32-176,32,2024,176,共通,きゅう理論,専門科目,きゅう理論,透熱灸刺激の伝導経路,acupuncture-technique,透熱灸刺激の中枢伝導路,,透熱灸刺激→脊髄後角→交叉→前側索→脳幹網様体を経て視床・大脳へ。薄束・内側毛帯は体性感覚（後索）。脊髄前角は運動,,indexed_official,2020,180,きゅう師専用
32-177,32,2024,177,共通,きゅう理論,専門科目,きゅう理論,施灸と交感神経亢進,acupuncture-technique,施灸による交感神経活動亢進の反応,,施灸→交感神経亢進→血圧上昇（正しい）。皮膚血管拡張・瞳孔括約筋収縮・気管支収縮は副交感神経（亢進でない）,,indexed_official,2020,180,きゅう師専用
32-178,32,2024,178,共通,きゅう理論,専門科目,きゅう理論,施灸による胃運動亢進反射,acupuncture-technique,胃運動亢進をきたす反射の遠心路,,施灸→温熱侵害刺激→体性-内臓反射（胃運動亢進）の遠心路：B線維（交感節前）とC線維（迷走神経）が関与,,indexed_official,2020,180,きゅう師専用
32-179,32,2024,179,共通,きゅう理論,専門科目,きゅう理論,透熱灸の急性炎症反応,acupuncture-technique,透熱灸による急性炎症反応の経時的出現,,透熱灸の急性炎症反応順：ブラジキニン放出→セロトニン放出→補体滲出→膠原線維の産生（最も遅い・修復期）,,indexed_official,2020,180,きゅう師専用
32-180,32,2024,180,共通,きゅう理論,専門科目,きゅう理論,温熱ストレスと抗炎症,acupuncture-technique,温熱ストレスにより抗炎症性に働く物質,,温熱ストレス→抗炎症：コルチゾール（副腎皮質ホルモン・糖質コルチコイド）。PGE2・IL-6・ヒスタミンは炎症促進,,indexed_official,2020,180,きゅう師専用
